020011212; 020111212; 1.03707915738e-11
020011212; 120011212; 1.03707915738e-11
000010212; 010010212; 1.00804094098e-08
000010212; 000110212; 1.00804094098e-08
000010212; 000011212; 1.00804094098e-08
000010212; 001010212; 1.00804094098e-08
000010212; 100010212; 1.00804094098e-08
020000011; 020002011; 4.5361842344e-07
020000011; 020200011; 4.5361842344e-07
020000011; 020020011; 4.5361842344e-07
020000011; 220000011; 4.5361842344e-07
020000011; 022000011; 4.5361842344e-07
020000011; 020000211; 4.5361842344e-07
120210112; 122210112; 5.76155087436e-13
120210112; 120212112; 5.76155087436e-13
000201100; 000201102; 4.5361842344e-07
000201100; 002201100; 4.5361842344e-07
000201100; 000201120; 4.5361842344e-07
000201100; 000221100; 4.5361842344e-07
000201100; 200201100; 4.5361842344e-07
000201100; 020201100; 4.5361842344e-07
211020010; 211220010; 2.80011372494e-10
211020010; 211022010; 2.80011372494e-10
211020010; 211020210; 2.80011372494e-10
211020010; 211020012; 2.80011372494e-10
010101022; 012101022; 2.80011372494e-10
010101022; 010121022; 2.80011372494e-10
010101022; 210101022; 2.80011372494e-10
010101022; 010101222; 2.80011372494e-10
200211112; 202211112; 5.76155087436e-13
200211112; 220211112; 5.76155087436e-13
110020102; 110220102; 2.80011372494e-10
110020102; 110022102; 2.80011372494e-10
110020102; 112020102; 2.80011372494e-10
110020102; 110020122; 2.80011372494e-10
202121011; 222121011; 5.76155087436e-13
202121011; 202121211; 5.76155087436e-13
112000221; 112001221; 1.03707915738e-11
112000221; 112010221; 1.03707915738e-11
112000221; 112100221; 1.03707915738e-11
200010000; 200011000; 2.44953948658e-05
200010000; 210010000; 2.44953948658e-05
200010000; 200010010; 2.44953948658e-05
200010000; 200010001; 2.44953948658e-05
200010000; 200010100; 2.44953948658e-05
200010000; 201010000; 2.44953948658e-05
200010000; 200110000; 2.44953948658e-05
200010001; 200010021; 4.5361842344e-07
200010001; 220010001; 4.5361842344e-07
200010001; 200012001; 4.5361842344e-07
200010001; 200210001; 4.5361842344e-07
200010001; 200010201; 4.5361842344e-07
200010001; 202010001; 4.5361842344e-07
221100010; 221100012; 2.80011372494e-10
221100010; 221120010; 2.80011372494e-10
221100010; 221100210; 2.80011372494e-10
221100010; 221102010; 2.80011372494e-10
221100012; 221101012; 1.03707915738e-11
221100012; 221110012; 1.03707915738e-11
221100012; 221100112; 1.03707915738e-11
122000211; 122001211; 1.03707915738e-11
122000211; 122010211; 1.03707915738e-11
122000211; 122100211; 1.03707915738e-11
210000121; 212000121; 2.80011372494e-10
210000121; 210200121; 2.80011372494e-10
210000121; 210002121; 2.80011372494e-10
210000121; 210020121; 2.80011372494e-10
210000120; 210100120; 1.00804094098e-08
210000120; 210001120; 1.00804094098e-08
210000120; 210000121; 1.00804094098e-08
210000120; 210010120; 1.00804094098e-08
210000120; 211000120; 1.00804094098e-08
